id,text,is_complaint_true
34,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
35,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
36,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
37,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
38,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
39,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
40,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
41,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
42,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
43,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
44,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
45,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
46,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
47,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
48,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
49,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
50,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
51,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
52,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
53,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
54,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
55,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
56,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
57,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
58,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
59,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
60,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
61,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
62,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
63,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
64,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
65,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
66,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
67,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
68,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
69,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
70,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
71,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
72,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
73,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
74,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
75,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
76,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
77,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
78,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
79,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
80,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
81,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
82,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
83,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
84,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
85,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
86,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
87,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
88,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
89,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
90,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
91,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
92,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
93,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
94,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
95,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
96,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
97,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
98,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
99,"Indra Indra  @Indra2025 · Indian Twitter Daily Tasks (fights):

- Left Wing vs Right Wing
- Government vs Opposition 
- Police vs Twitter Users 
- Dilip Mandal vs Others 
- Dog Lovers vs Public 
- Veg vs Nonveg 
- Indian",False
100,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
101,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
102,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
103,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
104,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
105,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
106,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
107,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
108,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
109,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
110,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
111,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
112,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
113,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
114,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
115,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
116,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
117,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
118,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
119,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
120,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
121,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
122,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
123,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
124,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
125,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
126,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
127,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
128,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
129,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
130,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
131,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
132,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
133,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
134,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
135,Arjun Arjun  @80and_Counting · Indian  Railways,False
136,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
137,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
138,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
139,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
140,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
141,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
142,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
143,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
144,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
145,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
146,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
147,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
148,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
149,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
150,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
151,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
152,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
153,Arjun Arjun  @80and_Counting · Indian  Railways,False
154,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
155,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
156,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
157,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
158,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
159,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
160,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
161,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
162,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
163,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
164,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
165,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
166,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
167,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
168,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
169,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
170,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
171,Arjun Arjun  @80and_Counting · Indian  Railways,False
172,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
173,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
174,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
175,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
176,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
177,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
178,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
179,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
180,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
181,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
182,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
183,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
184,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
185,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
186,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
187,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
188,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
189,Arjun Arjun  @80and_Counting · Indian  Railways,False
190,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
191,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
192,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
193,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
194,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
195,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
196,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
197,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
198,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
199,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
200,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
201,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
202,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
203,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
204,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
205,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
206,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
207,Arjun Arjun  @80and_Counting · Indian  Railways,False
208,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
209,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
210,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
211,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
212,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
213,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
214,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
215,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
216,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
217,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
218,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
219,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
220,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
221,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
222,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
223,Roshan Rai Roshan Rai  @RoshanKrRaii · Update : Condition of Indian ,False
224,san⁷ /rpwp san⁷ /rpwp  @sueemonella · can some vips or someone who work in Indian,False
225,Arjun Arjun  @80and_Counting · Indian  Railways,False
226,"Dr Gaurav Garg Dr Gaurav Garg  @DrGauravGarg4 · As a common man, doesn’t the videos of Indian ",False
227,Saurabh • A Railfan Saurabh • A Railfan  @trainwalebhaiya · Even after 170yrs of Indian ,False
228,Kapil Kapil  @kapsology · Everyone is talking about Indian ,False
229,Mukul Mukul  @Warrior_Mukul · Pathetic State of Indian ,False
230,Ravisutanjani Ravisutanjani  @Ravisutanjani · All is Not Well with Indian ,False
231,Ravisutanjani Ravisutanjani  @Ravisutanjani · Strength of Indian ,False
232,Anusha vundavalli Anusha vundavalli  @Anushavundavali · Worst railway service,False
233,Indian Tech & Infra Indian Tech & Infra  @IndianTechGuide ·  Indian ,False
234,"Tamil Nadu Infra Tamil Nadu Infra  @TamilNaduInfra · Unreserved passengers traveling in bulk in reserved coaches of trains is slowly becoming a norm in TN too.

High time Indian ",False
235,"Anil Bhat Anil Bhat  @anilbhatortho · #Vandebharat journey 
* atleast 25% travellers folding & dropping back their food trays with a loud thud 
* mobile phones with their highest decibels blaring music/ reality shows 
* nonstop announcements in 4 languages by the Indian",False
236,Mihir Jha Mihir Jha  @MihirkJha · Indian  Railways,False
237,Ananth Rupanagudi Ananth Rupanagudi  @Ananth_IRAS · If any of you have any angst against #IndianRailways ,False
238,"Judish Raj Judish Raj  @JudishRaj · For those born after 1990, let me tell you the biggest achievement post independence, of Indian ",False
239,Munthaseer Yaseen Munthaseer Yaseen  @12ARMY · How BJP systematically dismantled Indian ,False
240,Swaminathan Padmanabhan Swaminathan Padmanabhan  @swaminathankp · Indian Indian ,False
